Full name,Category,Criterion,Ordering,Reference,Type,Theme,List
Most expensive paintings sold,painting sold,price,more expensive,https://en.wikipedia.org/wiki/List_of_most_expensive_paintings,"Constant, but list is growing",Art,"Salvator Mundi by Leonardo da Vinci,Interchange by Willem de Kooning,The Card Players by Paul Cézanne,Nafea Faa Ipoipo (When Will You Marry?) by Paul Gauguin,Number 17A by Jackson Pollock,Wasserschlangen II by Gustav Klimt,No. 6 (Violet, Green and Red) by Mark Rothko,Pendant portraits of Maerten Soolmans and Oopjen Coppit by Rembrandt,Les Femmes d'Alger by Pablo Picasso,The Standard Bearer        by Rembrandt,Shot Sage Blue Marilyn by Andy Warhol,Nu couché by Amedeo Modigliani,No. 5, 1948 by Jackson Pollock,Woman III by Willem de Kooning,Masterpiece by Roy Lichtenstein,Portrait of Adele Bloch-Bauer I by Gustav Klimt,Le Rêve by Pablo Picasso,Portrait of Dr. Gachet by Vincent van Gogh,Nu couché (sur le côté gauche) by Amedeo Modigliani,Portrait of Adele Bloch-Bauer II by Gustav Klimt,Three Studies of Lucian Freud by Francis Bacon,Bal du moulin de la Galette by Pierre-Auguste Renoir,Twelve Landscape Screens by Qi Baishi,Garçon à la pipe by Pablo Picasso,Les Poseuses, Ensemble (Petite version) by Georges Seurat,The Scream by Edvard Munch,Otahi by Paul Gauguin,Reclining Nude With Blue Cushion by Amedeo Modigliani,La Montagne Sainte-Victoire by Paul Cezanne,Flag by Jasper Johns,Nude, Green Leaves and Bust        by Pablo Picasso,Portrait of Joseph Roulin by Vincent van Gogh,L’Homme assis au verre by Pablo Picasso,Irises by Vincent van Gogh,Dora Maar au Chat by Pablo Picasso,Eight Elvises by Andy Warhol,Young Girl with a Flower Basket by Pablo Picasso,Anna's Light by Barnett Newman,Silver Car Crash (Double Disaster) by Andy Warhol,Untitled by Jean-Michel Basquiat,Portrait de l'artiste sans barbe by Vincent van Gogh,Meules by Claude Monet,Verger avec cyprès by Vincent van Gogh,La Montagne Sainte-Victoire vue du bosquet du Château Noir by Paul Cézanne,Massacre of the Innocents by Peter Paul Rubens,Nurse by Roy Lichtenstein,Triptych, 1976 by Francis Bacon,Maternitè II by Paul Gauguin,Birch Forest by Gustav Klimt,Femme assise près d’une fenêtre (Marie-Thérèse) by Pablo Picasso"
Planets in the solar system by size,planet,size,larger,https://en.wikipedia.org/wiki/List_of_Solar_System_objects_by_size,Constant,Astronomy,"Jupiter,Saturn,Uranus,Neptune,Earth,Venus,Mars,Mercury"
Planets in the solar system by distance from the Sun,planet,distance from sun,closer,https://en.wikipedia.org/wiki/Solar_System,Constant,Astronomy,"Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune"
Moons of Jupiter by radius,moons of Jupiter,radius,larger,https://en.wikipedia.org/wiki/List_of_Solar_System_objects_by_size,Constant,Astronomy,"Ganymede,Callisto,Io,Europa,Amalthea,Himalia,Thebe,Elara,Pasiphae,Carme"
Heaviest terrestiral animals,terrestrial animal,weight,heavier,https://en.wikipedia.org/wiki/Largest_and_heaviest_animals,Constant,Biology,"African bush elephant,Asian elephant,African forest elephant,White rhinoceros, Hippopotamus,Indian rhinoceros,Black rhinoceros,Javan rhinoceros,Giraffe,Gaur"
Chemical elements by atomic number,chemical element,atomic number,lower,https://en.wikipedia.org/wiki/List_of_chemical_elements,Constant,Chemistry,"Hydrogen,Helium,Lithium,Beryllium,Boron,Carbon,Nitrogen,Oxygen,Fluorine,Neon,Sodium,Magnesium,Aluminium,Silicon,Phosphorus,Sulfur,Chlorine,Argon,Potassium,Calcium"
Chemicals by boiling point,chemical,boiling point,lower,https://en.wikipedia.org/wiki/Melting_point,Constant,Chemistry,"Helium,Hydrogen,Nitrogen,Oxygen,Chlorine,Iodine,Mercury,Sulfur,Potassium,Cadmium,Sodium,Zinc,Magnesium,Lead,Silver,Beryllium,Aluminium,Copper,Gold,Iron,Nickel,Titanium,Carbon,Platinum,Tungsten"
Chemicals by melting point (highest to lowest),chemical,melting point,higher,https://en.wikipedia.org/wiki/Melting_point,Constant,Chemistry,"Tungsten,Tantalum,Platinum,Titanium,Iron,Nickel,Beryllium,Copper,Gold,Silver,Aluminium,Magnesium,Zinc,Lead,Cadmium,Sulfur,Iodine,Sodium,Potassium,Mercury,Chlorine,Nitrogen,Oxygen,Hydrogen,Helium,Carbon"
Materials by hardness on Mohs scale,material,hardness on Mohs scale,softer,https://en.wikipedia.org/wiki/Mohs_scale,Constant,Chemistry,"Causium,Lithium,Talc,Tin,Gypsum,Gold,Calcite,Fluorite,Apatite,Cobalt,Titanium,Quartz,Topaz,Corundum,Diamond"
Countries by population,country,population,larger,https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population,Changing,Demographics,"China,India,United States,Indonesia,Pakistan,Nigeria,Brazil,Bangladesh,Russia,Mexico,Japan,Philippines,Ethiopia,Egypt,Vietnam,DR Congo,Iran,Turkey,Germany,Thailand,France,United Kingdom,Tanzania,South Africa,Italy,Myanmar,Colombia,Kenya,South Korea,Spain,Argentina,Algeria,Iraq,Uganda,Sudan,Ukraine,Canada,Poland,Morocco,Uzbekistan,Afghanistan,Peru,Malaysia,Angola,Mozambique,Saudi Arabia,Yemen,Ghana,Ivory Coast,Nepal"
US Counties by population,US county,population,larger,https://en.wikipedia.org/wiki/List_of_the_most_populous_counties_in_the_United_States,Changing,Demographics,"Los Angeles,Cook,Harris,Maricopa,San Diego,Orange,Miami-Dade,Dallas,Kings,Riverside,Clark,Queens,King,San Bernardino,Tarrant,Bexar,Broward,Santa Clara,Wayne,Alameda,Middlesex,New York,Sacramento,Philadelphia,Suffolk,Palm Beach,Hillsborough,Orange,Nassau,Bronx,Travis,Franklin,Oakland,Hennepin,Cuyahoga,Allegheny,Salt Lake,Wake,Collin,Contra Costa"
Capital cities by elevation,capital city,elevation,higher,https://en.wikipedia.org/wiki/List_of_capital_cities_by_elevation,"Changing, but rarely",Demographics,"La Paz,Quito,Sucre,Bogota,Addis Ababa,Thimphu,Asmara,Sana'a,Mexico City,Tehran,Kabul,Windhoek,Nairobi,Maseru,Kigali,Guatemala City,Gitega,Harare,Kathmandu,Ulaanbaatar,Antananarivo,Pretoria,Lusaka,Mbabane,Kampala,San Jose,Dodoma,Brasilia,Lilongwe,Andorra la Vella,Tegucigalpa,Yerevan,Gaborone,Ankara,Caracase,Amman,Dushanbe,Abuja,Bishkek,Jerusalem,Yaounde"
Metropolitan areas by size,metropolitan area,population,larger,https://en.wikipedia.org/wiki/List_of_largest_cities,Changing,Demographics,"Tokyo,Jakarta,Delhi,Seoul,Mumbai,Mexico City,Sao Paulo,Lagos,Karachi,Moscow,Osaka,Bangkok,Dhaka,London,Kolkata,Manila,Buenos Aires,Rio de Janeiro,Bogota,Paris,Chennai,Lima,Nagoya,Dallas,Pune,Kuala Lumpur,Santiago,Houston,Madrid,Ahmedabad,Washington,Miami,Atlanta,Toronto,Barcelona,Guadalajara,Khartoum,Belo Horizonte,Johannesburg,Saint Petersburg"
Religions by followers,religion,number of followers,more,https://en.wikipedia.org/wiki/List_of_religious_populations,Changing,Demographics,"Christianity,Islam,Secular,Hinduism,Buddhism,Chinese traditional,African traditional,Sikhism,Spiritism,Judaism,Baha'i,Jainism,Shinto,Cao Dai,Zoroastrianism,Tenrikyo,Animism,Neo-Paganism,Unitarian Universalism,Rastafari"
Ethnic groups by size in the US,ethnic group in the US,population,larger,https://en.wikipedia.org/wiki/Race_and_ethnicity_in_the_United_States,Changing,Demographics,"White,Hispanic,Black,Asian,American indian,Native Hawaiian"
Countries by unemployment rate according to OECD,country in the OECD,unemployment,higher,https://en.wikipedia.org/wiki/List_of_countries_by_unemployment_rate,Changing,Demographics,"Greece,Colombia,Spain,Turkey,Chile,Lithuania,Italy,Sweden,Canada,Finland,Latvia,Estonia,France,Portugal,Australia,Slovakia,Luxembourg,Denmark,Iceland,Austria,Ireland,Norway,Belgium,United States,Israel,Mexico,Slovenia,Germany,Hungary,United Kingdom,South Korea,Netherlands,Poland,Japan,Czech Republic"
Oil producing countries,country,oil production,higher,https://en.wikipedia.org/wiki/List_of_countries_by_oil_production,Changing,Economy,"United States,Saudi Arabia,Russia,Canada,Iraq,China,United Arab Emirates,Iran,Brazil,Kuwait,Kazakhstan,Mexico,Norway,Qatar,Nigeria,Algeria,Angola,Oman,Libya,Colombia,United Kingdom,Venezuela,Azerbaijan,Indonesia,India,Argentina,Egypt,Malaysia,Ecuador,Australia,Guyana,Republic of the Congo,Gabon,Turkmenistan,Bahrain,Ghana,Vietnam,South Sudan,Thailand,Equatorial Guinea,Syria,Italy,Brunei,Chad,Pakistan,Turkey,Sudan,Denmark,Romania,Cameroon"
GDP per capita,country,GDP per capita,higher,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Changing,Economy,"Monaco,Liechtenstein,Luxembourg,Bermuda,Ireland,Switzerland,Norway,Cayman Islands,United States,Iceland,Denmark,Australia,Singapore,Qatar,Sweden,Greenland,Netherlands,Israel,Austria,Finland,Canada,Belgium,Germany,San Marino,British Virgin Islands,Hong Kong,New Zealand,United Kingdom,France,Macau,United Arab Emirates,Andorra,Japan,Italy,New Caledonia,South Korea,Malta,Puerto Rico,Cyprus,Kuwait,Brunei,Spain,Aruba,Slovenia,Estonia,Bahamas,Czech Republic,Bahrain,Portugal,Lithuania,Saudi Arabia,Slovakia,Latvia,Turks and Caicos Islands,Greece,French Polynesia,Oman,Cook Islands,Anguilla,Hungary,Saint Kitts and Nevis,Poland,Uruguay,Barbados,Croatia,Chile,Montserrat,Trinidad and Tobago,Antigua and Barbuda,Romania,Panama"
Wine producing countries,country,wine production,higher,https://en.wikipedia.org/wiki/List_of_wine-producing_regions,Changing,Economy,"Italy,Spain,France,United States,China,Argentina,Chile,Australia,South Africa,Germany,Portugal,Romania,Greece,Russia,New Zealand,Brazil,Hungary,Austria,Serbia,Moldova,Bulgaria,Georgia,Switzerland,Ukraine,Japan"
Largest power stations,power station,capacity,higher,https://en.wikipedia.org/wiki/List_of_largest_power_stations,Changing,Economy,"Three Gorges Dam,Baihetan Dam,Itaipu Dam,Xiluodu,Belo Monte,Guri,Wudongde Dam,Jebel Ali,Tucuruí,Kashiwazaki-Kariwa,Jiuquan (Gansu),Xiangjiaba,Kori,Hanul,Grand Coulee,Tuoketuo,Bruce,Longtan,Sayano-Shushenskaya,Hongyanhe,Fuqing"
Tourists for city,city,number of tourists,higher,https://en.wikipedia.org/wiki/List_of_cities_by_international_visitors,Changing,Economy,"Hong Kong,Bangkok,London,Macau,Singapore,Paris,Dubai,New York City,Kuala Lumpur,Istanbul,Delhi,Antalya,Shenzhen,Mumbai,Phuket,Rome,Tokyo,Pattaya,Taipei,Mecca,Guangzhou,Prague,Medina,Seoul,Amsterdam,Agra,Miami,Osaka,Shanghai,Ho Chi Minh City,Denpasar,Barcelona,Las Vegas,Los Angeles,Milan,Chennai,Vienna,Johor Bahru,Jaipur,Cancún,Berlin,Cairo,Orlando,Moscow,Venice,Madrid,Ha Long,Riyadh,Dublin"
Total energy from solar sources by country,country,total energy from solar sources,higher,https://en.wikipedia.org/wiki/Solar_power_by_country,Changing,Economy,"China,United States,Japan,Germany,India,Australia,Italy,Brazil,South Korea,Spain,Netherlands,Vietnam,France,United Kingdom,Poland,Taiwan,Turkey,Mexico,Ukraine,Belgium,South Africa,Chile,Greece,Switzerland,Israel,Canada,Austria,Thailand,United Arab Emirates,Hungary,Czech Republic,Sweden,Portugal,Denmark,Kazakhstan,Bulgaria,Malaysia,Jordan,Russia,Egypt,Philippines,Romania,Pakistan,Argentina,Morocco,Dominican Republic"
Solar capacity as share of total energy consumption by country,country,solar capacity as share of total energy consumption,higher,https://en.wikipedia.org/wiki/Solar_power_by_country,Changing,Economy,"Spain,Greece,Chile,Jordan,Australia,Netherlands,Honduras,Germany,Israel,Hungary,Lithuania,Japan,Vietnam,Malta,India,Italy,Belgium,Portugal,Denmark,Switzerland,Turkey,China,Austria,Bulgaria,Poland,Mexico,United States,Ukraine,United Arab Emirates,Morocco,South Korea,United Kingdom,France,Romania,South Africa,Taiwan,Czech Republic,Thailand"
Countries by size,country,surface area,higher,https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_area,"Changing, but rarely",Geography,"Russia,Canada,China,United States,Brazil,Australia,India,Argentina,Kazakhstan,Algeria,DR Congo,Saudi Arabia,Mexico,Indonesia,Sudan,Libya,Iran,Mongolia,Peru,Chad,Niger,Angola,Mali,South Africa,Colombia,Ethiopia,Bolivia,Mauritania,Egypt,Tanzania,Nigeria,Venezuela,Pakistan,Namibia,Mozambique,Turkey,Chile,Zambia,Myanmar,Afghanistan,South Sudan,France,Somalia,Central African Republic,Ukraine,Madagascar,Botswana,Kenya,Yemen,France,Thailand,Spain,Turkmenistan,Cameroon,Papua New Guinea,Sweden,Uzbekistan,Morocco,Iraq,Paraguay,Zimbabwe,Norway,Japan,Germany,Congo,Finland,Vietnam,Malaysia,Ivory Coast,Poland,Oman,Italy,Philippines,Ecuador,Burkina Faso,New Zealand,Gabon,Guinea,United Kingdom,Uganda,Ghana,Romania,Laos,Guyana,Belarus,Kyrgyzstan,Senegal,Syria,Cambodia,Uruguay,Suriname,Tunisia,Bangladesh,Nepal,Tajikistan,Greece,Nicaragua,Eritrea,North Korea,Malawi,Benin,Honduras,Liberia,Bulgaria,Cuba,Guatemala,Iceland,South Korea,Hungary,Portugal,Jordan,Serbia,Azerbaijan,Austria,United Arab Emirates,Czech Republic,Panama,Sierra Leone,Ireland,Georgia,Sri Lanka,Lithuania,Latvia,Togo,Croatia,Bosnia and Herzegovina,Costa Rica,Slovakia,Dominican Republic,Estonia,Denmark,Netherlands,Switzerland,Bhutan,Guinea-Bissau,Moldova,Belgium,Lesotho,Armenia,Solomon Islands,Albania,Equatorial Guinea,Burundi,Haiti,Rwanda,North Macedonia,Djibouti,Belize,El Salvador,Israel,Slovenia,Fiji,Kuwait,Eswatini,East Timor,Bahamas,Montenegro,Vanuatu,Qatar,Gambia,Jamaica,Lebanon,Cyprus,Palestine,Brunei,Trinidad and Tobago,Cape Verde,Samoa,Luxembourg,Mauritius,Comoros,São Tomé and Príncipe,Kiribati,Bahrain,Dominica,Tonga,Singapore,Micronesia,Saint Lucia,Andorra,Palau,Seychelles,Antigua and Barbuda,Barbados,Saint Vincent and the Grenadines,Grenada,Malta,Maldives,Saint Kitts and Nevis,Marshall Islands,Liechtenstein,San Marino,Tuvalu,Nauru,Monaco,Vatican City"
US Counties by area,US county,surface area,higher,https://en.wikipedia.org/wiki/List_of_the_largest_counties_in_the_United_States_by_area,Constant,Geography,"San Bernardino County,Coconino County,Nye County,Elko County,Mohave County,Apache County,Lincoln County,Sweetwater County,Inyo County,Harney County,Navajo County,Malheur County,Humboldt County,Fremont County,Maricopa County,Pima County,White Pine County,Idaho County,Lake County,Kern County,Yavapai County,Clark County,Carbon County,San Juan County,Owyhee County,Riverside County,Tooele County,Park County,Catron County,St. Louis County,Aroostook County,Millard County,Box Elder County,Socorro County,Otero County,Washoe County,Siskiyou County,Cochise County,Brewster County,Klamath County,Chaves County,Pershing County,Fresno County,Cherry County,Keweenaw County,Rio Arriba County,Beaverhead County,San Juan County,Lander County,Yuma County,McKinley County,Natrona County,Pinal County,Okanogan County,Flathead County,Phillips County,Garfield County,Douglas County,Hawaii County,Valley County,Alger County,Rosebud County,Churchill County,Big Horn County,Custer County,Sublette County,Garfield County,Tulare County,Lincoln County,Campbell County,Gila County,Las Animas County,Pecos County,Los Angeles County,Moffat County,San Miguel County,Lane County,Lassen County,Graham County,Hudspeth County,Lemhi County,Cibola County,Grant County,San Diego County,La Paz County,Uintah County,Imperial County,Emery County,Lea County,Piscataquis County,Fergus County,Yakima County,Albany County,Converse County,Blaine County,Sierra County,Teton County,Modoc County,Eddy County"
US States by area,US state,surface area,higher,https://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_area,Constant,Geography,"Alaska,Texas,California,Montana,New Mexico,Arizona,Nevada,Colorado,Oregon,Wyoming,Michigan,Minnesota,Utah,Idaho,Kansas,Nebraska,South Dakota,Washington,North Dakota,Oklahoma,Missouri,Florida,Wisconsin,Georgia,Illinois,Iowa,New York,North Carolina,Arkansas,Alabama,Louisiana,Mississippi,Pennsylvania,Ohio,Virginia,Tennessee,Kentucky,Indiana,Maine,South Carolina,West Virginia,Maryland,Hawaii,Messachusetts,Vermont,New Hampshire,New Jersey,Connecticut,Delaware,Rhode Island"
Lakes by surface,lake,surface area,higher,https://en.wikipedia.org/wiki/List_of_lakes_by_area,Constant,Geography,"Caspian Sea,Superior,Victoria,Huron,Michigan,Tanganyika,Baikal,Great Bear Lake,Malawi,Great Slave Lake,Erie,Winnipeg,Ontario,Ladoga,Balkhash,Vostok,Onega,Titicaca,Nicaragua,Athabasca,Reindeer,Turkana,Issyk-Ful,Vanern,Nettilling,Winnipegosis,Albert,Mweru,Nipigon,Manitoba,Taymyr,Qinghai,Saimaa,Lake of the Woods,Khanka,Sarygamysh,Dubawnt,Van,Peipus,Uvs"
Lakes by depth,lake,depth,deeper,https://en.wikipedia.org/wiki/List_of_lakes_by_depth,Constant,Geography,"Baikal,Tanganyika,Caspian Sea,Viedma,O'Higgins-San Martin,Malawi,Issyk Kul,Great Slave,Crater,Matano,Hornindalsvatnet,Sarez,Tahoe,Argentino,Salvatnet,Kivu,Grand Lake,Nahuel Huapi,Hauroko,Cochrane,Adams,Chelan,Van,Poso,Fagnano,Great Bear,Manapouri,Como"
Rivers by length,river,length,longer,https://en.wikipedia.org/wiki/List_of_rivers_by_length,Constant,Geography,"Nile,Amazon,Yangtze,Mississippi,Yenisey,Yellow River,Ob-Irtysh,Rio de la Plata,Congo,Amur,Lena,Mekong,Mackenzie,Niger,Brahmaputra,Murray,Tocantins,Volga,Indus,Shatt al-arab,Madeira,Purus,Yujon,Sao Francisco,Syr Darya,Salween,Rio Grande,Danube,Zambezi,Vilyuy,Ganges,Amu Darya,Japura,Paraguay"
Mountains by height,mountain,height,taller,https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,Constant,Geography,"Mount Everest,Sagarmatha,Chomolungma,K2,Kangchenjunga,LhotseMakalu,Cho Oyu,Dhaulagiri I,Manaslu,Nanga Parbat,Annapurna I,Gasherbrum I Hidden Peak K5,Broad Peak,Gasherbrum II K4,Shishapangma Gosainthan,Gyachung Kang,Gasherbrum III K3a,Annapurna II,Gasherbrum IV K3,Himalchuli,Distaghil Sar,Ngadi Chuli,Nuptse,Khunyang Chhish,Masherbrum K1,Nanda Devi,Chomo Lonzo,Batura Sar,Rakaposhi,Namcha Barwa,Kanjut Sar,Kamet,Dhaulagiri II,Saltoro Kangri K10,Kumbhakarna Jannu,Tirich Mir,Molamenqing,Gurla Mandhata,Saser Kangri I K22,Chogolisa,Dhaulagiri IV,Kongur Tagh,Dhaulagiri V,Shispare,Trivor,Gangkhar Puensum,Gongga Shan Minya Konka,Annapurna III,Skyang Kangri,Changtse,Kula Kangri,Kongur Tiube,Annapurna IV,Mamostong Kangri,Saser Kangri II E,Muztagh Ata,Ismoil Somoni Peak,Saser Kangri III"
Islands by surface area,island,surface area,higher,https://en.wikipedia.org/wiki/List_of_islands_by_area,Constant,Geography,"Greenland,New Guinea,Borneo,Madagascar,Baffin Island,Sumatra,Honshū,Victoria Island,Great Britain,Ellesmere Island,Sulawesi,South Island (Te Waipounamu),Java,North Island (Te Ika-a-Māui),Luzon,Newfoundland,Cuba,Iceland,Mindanao (main island),Ireland,Hokkaidō,Hispaniola,Sakhalin,Banks Island,Sri Lanka (main island),Tasmania (main island),Devon Island,Alexander Island,Isla Grande de Tierra del Fuego,Severny Island (Novaya Zemlya north),Berkner Island,Axel Heiberg Island,Melville Island,Southampton Island,Marajó,Spitsbergen,Kyūshū,New Britain,Taiwan (main island),Prince of Wales Island,Yuzhny Island (Novaya Zemlya south),Hainan,Vancouver Island,Timor,Sicily,Somerset Island,Kotelny Island,Sardinia,Bananal,Shikoku,Halmahera,Seram,New Caledonia main island,Bathurst Island,Prince Patrick Island,Thurston Island,Nordaustlandet,Sumbawa,October Revolution Island,Flores,King William Island,Negros,Samar,Palawan,Panay,Yos Sudarso (Dolak),Bangka,Ellef Ringnes Island,Bolshevik Island,Jamaica main island,Bylot Island,Sumba,Mindoro,Viti Levu,Hawaiʻi Big Island,Cape Breton Island"
